58,6,9,1,2,1,1,40.0,17.0,11.0,13,2013,56.79410735377956,60.50943844020369,2950000
58,6,9,3,2,3,1,87.0,40.0,11.0,9,2013,56.79410735377956,60.50943844020369,4790000
58,6,9,1,2,1,1,40.0,18.0,12.0,8,2013,56.79410735377956,60.50943844020369,2880000
12,8,6,3,2,3,1,66.0,45.0,8.0,1,1986,56.760673,60.828467,2100000
12,8,6,2,2,2,1,66.0,45.0,8.0,1,1986,56.760673,60.828467,2100000
14,2,1,4,2,4,2,74.0,57.3,6.6,3,1991,56.801221713298396,60.72848929939963,3650000
30,2,1,2,2,2,1,43.0,29.0,6.0,5,1970,56.76936269058189,60.586784320598674,2860000
30,3,1,3,2,3,2,64.0,41.0,8.0,7,-1,56.77244308692379,60.58328288943644,3610000
29,8,2,1,2,1,1,19.0,12.0,4.0,2,1972,56.756579516771644,60.70502627783702,1650000
29,8,2,1,2,1,2,18.0,15.0,-1.0,1,1972,56.756579516771644,60.70502627783702,1500000
29,8,2,1,2,1,2,18.0,18.0,-1.0,5,1972,56.756579516771644,60.70502627783702,1700000
29,8,2,1,2,1,2,18.0,14.0,-1.0,2,1972,56.756579516771644,60.70502627783702,1680000
29,8,2,1,2,1,1,24.5,20.0,-1.0,4,1972,56.756579516771644,60.70502627783702,2050000
29,8,2,1,2,1,1,19.0,16.0,3.0,5,1972,56.756579516771644,60.70502627783702,1600000
29,8,2,1,2,1,1,18.0,15.0,-1.0,2,1972,56.756579516771644,60.70502627783702,1550000
30,3,1,3,2,3,1,82.0,54.0,10.0,5,1991,56.77172715382904,60.58889547762296,4199000
30,8,2,2,2,2,1,23.3,17.0,5.0,2,1974,56.75633459229186,60.60851379045842,2000000
30,8,2,1,2,1,1,24.0,17.0,-1.0,5,1974,56.75633459229186,60.60851379045842,1900000
30,8,2,1,2,1,2,18.7,13.5,3.5,3,1974,56.75633459229186,60.60851379045842,1480000
30,8,2,1,2,1,2,26.0,16.0,6.0,2,1974,56.75633459229186,60.60851379045842,2100000
30,8,2,1,2,1,1,18.0,12.0,4.0,5,1974,56.75633459229186,60.60851379045842,1590000
30,8,2,1,3,1,1,18.0,12.0,4.0,5,1974,56.75633459229186,60.60851379045842,1590000
30,8,2,1,2,1,2,18.6,11.8,4.0,4,1974,56.75633459229186,60.60851379045842,1590000
32,5,2,1,3,3,1,100.0,19.5,12.0,2,1956,56.825930743555325,60.64280720789706,1530000
30,2,1,4,2,4,2,74.0,55.0,8.0,5,1971,56.77014456488274,60.58764251451098,3600000
30,2,1,1,2,1,1,29.0,16.0,6.0,1,1971,56.77014456488274,60.58764251451098,2100000
30,2,1,3,2,3,2,58.0,40.0,7.0,1,1971,56.77014456488274,60.58764251451098,3300000
48,5,2,2,2,2,1,48.0,33.0,6.0,2,1934,56.84175671470261,60.62775449797245,3900000
4,8,2,1,2,1,1,35.0,28.0,11.0,4,1978,56.837081,60.569932,2400000
4,8,2,1,3,1,1,13.0,13.0,-1.0,5,1978,56.837081,60.569932,1250000
30,2,1,2,2,2,1,43.8,25.5,7.0,1,1980,56.76961703523398,60.587882808806434,2550000
30,2,1,2,2,2,2,43.0,27.0,6.0,1,1980,56.76961703523398,60.587882808806434,2500000
30,2,1,2,2,2,1,44.0,28.0,-1.0,1,1980,56.76961703523398,60.587882808806434,2700000
30,2,1,4,2,4,2,74.0,55.8,-1.0,5,1980,56.77041774987943,60.586149257103564,3800000
30,2,1,3,2,3,2,59.0,41.0,7.0,4,1977,56.773488726049024,60.58352318373189,3550000
